浪漫,0.022969824717913746
美好,0.020450982748051967
遗憾,0.01925204978003288
完美,0.013179273231910388
尴尬,0.0080386778773251
简单,0.007547288365487123
充满,0.007158738955767768
成功,0.007114323225319537
精致,0.0070188289607101455
悲伤,0.005896130057836239
甜蜜,0.005514195579978684
不错,0.0049827556422516114
幸福,0.004907899178571703
欢快,0.004768626605860546
平庸,0.004685365097343485
惊喜,0.004557019401090459
残酷,0.00433786000004797
温柔,0.004269328188196098
完整,0.004261578856386425
漂亮,0.004240152543744295
很美,0.004216043450334959
流畅,0.003982812037168742
珍惜,0.003960159624930782
孤独,0.0038853098901257344
珍贵,0.0037390480103747037
正好,0.0036551055858178756
很棒,0.003488138750510037
俏皮,0.0034250671852384617
愚蠢,0.0033836312577350106
拖沓,0.0033224344568511185
电影,0.016436770727173557
梦想,0.010259744347537406
爱情,0.008766448971366548
歌舞,0.008312753244855987
故事,0.008161701437886665
歌舞片,0.007710747986986998
音乐,0.0075687594814879975
结尾,0.005618233956408121
现实,0.004811827487893383
石头,0.0047302274111283345
司令,0.004697578025364223
女主,0.004391218194061881
结局,0.004238089086136399
剧情,0.004202594853770082
人生,0.004158327075645523
男主,0.003774992158138431
爵士乐,0.0035745917092785333
镜头,0.0034633467879071882
爵士,0.003247836028555508
电影院,0.0029001193417243637
舞蹈,0.002857778745556355
画面,0.002772082256256462
演员,0.002692235412119002
男女,0.0026717110915772634
理想,0.002501143336442276
长镜头,0.0023761237547475773
观众,0.0022801293390682337
世界,0.002241452778389622
场景,0.002214161171867734
感情,0.0022013612912952923
