细腻,0.03172653953321232
温柔,0.020630100300399763
清新,0.01648261668946933
敏感,0.015197938180068933
平淡,0.012501740068824594
脆弱,0.011434564558122615
美好,0.010968761435704919
悲伤,0.009785317884105577
孤独,0.00939097627426481
简单,0.008696567331486956
很好,0.008231702251002344
不错,0.008079540725250337
沉闷,0.008004595709496288
曖昧,0.007479718480333224
炽热,0.007479718480333224
紧张,0.007479718480333224
深沉,0.0074797184803332235
不安,0.0074797184803332235
害羞,0.007396201680600333
很淡,0.006644038642479309
勇敢,0.006644038642479307
强壮,0.006644038642479307
简洁,0.0064294119707723
善良,0.00620985046332885
沉默,0.006158825868593024
很小,0.005768839217637915
柔软,0.0055692280204324785
聪明,0.005529009053612406
单靠,0.005329781770262472
伤害,0.005117705609251719
惊喜,0.005117705609251719
意外,0.005117705609251719
单薄,0.005117705609251719
清晰,0.005117705609251719
平庸,0.005117705609251719
电影,0.019648900321722212
黑人,0.018823184977141326
故事,0.012859128652305957
月光,0.008076565545855419
男孩,0.007458870026673501
镜头,0.0074103482417398866
情感,0.006291435974863285
题材,0.005849500853716141
种族,0.005843101732140049
同性,0.005780908849947494
人生,0.005220273783457125
男主,0.005138318223022214
政治,0.004948928865828764
主角,0.004948437886259946
剧情,0.004946917897796569
影片,0.004831708858939446
内心,0.0045496053855639445
蓝色,0.004257647665004205
摄影,0.004256046802849426
三段式,0.004220057269352816
节奏,0.004199235668018991
同志,0.004047107236253468
演员,0.004046586007642589
社会,0.00384433999946251
人物,0.003659572487342204
毒品,0.003495748516594081
爱情,0.0032929202849796765
最佳影片,0.003267755943951222
风格,0.003145496639678227
眼神,0.0030513420820414815
文艺,0.0029485299863304007
男人,0.0028919070442003127
感情,0.0028227058471629683
一个男孩,0.0028153965161233107
全片,0.0027950578080949743
